x,y,
179.3083,98.67102,
172.3083,117.181,19.7893749169
165.5735,127.2894,12.1464925637
151.7483,140.371,19.0332449572
133.4783,150.771,21.0226758525
114.8083,156.621,19.5650555839
103.8935,158.4294,11.0635965942
94.21827,158.891,9.6862350845
85.37355,158.731,8.8461670727
70.40827,157.101,15.0537870809
61.24355,155.4194,9.3177181347
45.30827,151.201,16.4841756615
36.03354,148.141,9.7664843507
15.90826,140.121,21.6644246422
5.64827,135.321,11.3272854118
-9.99173,127.081,17.6778731752
-24.01645,119.021,16.1757958407
-32.16173,113.361,9.9187290657
-43.49173,105.941,13.5434596762
-61.09,92.88499,21.9125193466
-78.29172,78.73102,22.2763111336
-93.05002,65.34102,19.9273560436
-107.7717,50.57938,20.8478746522
-123.3917,33.37102,23.240310968
-134.97,18.404,18.9227037859
-145.1165,4.339378,17.3425792272
-158.3417,-17.42898,25.4709113511
-164.3164,-30.18062,14.081951668
-169.3365,-42.84062,13.6189942364
-175.4917,-66.52898,24.4749849138
-176.9617,-76.85062,10.4257926456
-176.8864,-90.64063,13.7902155853
-175.0817,-100.3206,9.846764001
-170.3617,-115.129,15.5424293648
-164.4217,-124.5206,11.1124142543
-158.9417,-131.399,8.7944747745
-146.6317,-141.329,15.8158464838
-134.6765,-147.489,13.4488812561
-126.4965,-150.849,8.8431894699
-108.5617,-155.499,18.527804809
-95.20645,-157.609,13.5209024315
-73.86172,-159.129,21.398782647
-42.38173,-159.099,31.4800042948
47.20827,-148.129,90.2591214227
75.06355,-143.929,28.1701370937
91.19354,-139.979,16.6065974059
107.3083,-134.209,17.116611518
114.2635,-130.6506,7.8126191255
122.5583,-123.779,10.7713784447
126.6183,-118.159,6.9331089707
129.1083,-108.669,9.8112282615
129.1283,-100.349,8.3200240384
126.8983,-89.95898,10.6266370786
122.3383,-79.97897,10.9724290656
117.2083,-69.827,11.3745063577
98.34827,-42.02898,33.5921218074
83.63827,-20.72898,25.8857895379
79.68355,-12.66062,8.9854461975
78.52827,-7.878983,4.9192198851
77.04827,-1.338982,6.7053719569
77.87827,5.75,7.1374060972
81.37827,12.86102,7.925692742
88.33827,19.95102,9.9352755372
95.31827,25.33102,8.8127634712
102.9283,29.88102,8.8665132155
118.5435,38.04939,17.6226201087
133.2435,45.58102,16.5171259745
156.5083,59.27102,26.9938329816
165.7435,66.92102,11.9921398858
175.9083,79.57102,16.2279283656
